epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3830488938551682,1.3863,25.0,0.485,0.1,1.3863,25.0,0.49,0.1
1,1.3565417509812576,1.3997,25.0,0.595,0.1,1.3997,25.0,0.542,0.1
2,1.3132415973223173,1.3968,25.0,0.687,0.1,1.3967,25.0,0.616,0.1
3,1.272346624961266,1.3532,28.32,0.724,0.167,1.3491,30.93,0.685,0.197
4,1.216459166086637,2.5679,24.75,0.585,0.105,2.5546,25.71,0.587,0.116
5,1.1382615694632896,1.5054,31.5,0.649,0.257,1.4012,37.07,0.707,0.305
6,1.0683501078532291,1.8254,35.61,0.636,0.315,1.8136,38.39,0.618,0.341
7,0.9729357481002807,1.6156,41.46,0.687,0.354,1.7263,39.75,0.658,0.333
8,0.8993209059421833,2.7269,40.11,0.675,0.328,2.8524,40.21,0.664,0.34
9,0.8387829102002657,2.0809,45.18,0.727,0.415,2.2819,41.86,0.701,0.375
10,0.7742922260211065,1.6604,46.64,0.74,0.442,1.6122,46.57,0.744,0.442
11,0.7172693188373859,3.7226,33.46,0.655,0.269,3.7597,36.29,0.679,0.276
12,0.6530781846780044,1.5894,47.68,0.77,0.449,1.6352,45.25,0.747,0.417
13,0.6100500221435841,1.2371,58.96,0.826,0.592,1.1905,60.39,0.838,0.605
14,0.5679091297663175,1.6236,58.29,0.823,0.554,1.6665,56.32,0.808,0.543
15,0.5311535257559556,1.4619,52.29,0.837,0.476,1.6409,51.54,0.809,0.467
16,0.4829185572954325,0.9705,63.71,0.879,0.638,1.0324,62.07,0.875,0.62
17,0.467220341700774,1.8791,47.79,0.774,0.434,1.7013,50.43,0.803,0.478
18,0.4394671412614676,1.3423,58.96,0.874,0.567,1.4151,53.11,0.854,0.509
19,0.38556622908665583,1.0192,66.14,0.884,0.661,1.0898,64.18,0.863,0.641
20,0.36200671471082246,0.9079,67.61,0.916,0.677,1.0226,64.14,0.897,0.639
21,0.3384000069819964,1.1885,59.29,0.859,0.588,1.2536,56.96,0.85,0.558
22,0.33548582929831283,1.4062,55.68,0.824,0.511,1.3149,56.75,0.831,0.534
23,0.295926466354957,0.9412,67.54,0.9,0.679,1.1365,65.43,0.879,0.658
24,0.26838773076350875,0.77,74.64,0.93,0.745,0.913,69.43,0.9,0.694
25,0.27730355514929844,1.0379,66.75,0.918,0.667,1.137,62.89,0.9,0.626
26,0.25525323290091295,0.7371,74.89,0.932,0.75,0.8448,71.25,0.916,0.715
27,0.21969159234028596,0.9103,73.43,0.929,0.735,1.0202,71.04,0.921,0.708
28,0.2125475647357794,0.9719,70.93,0.924,0.687,1.0316,70.57,0.912,0.689
29,0.19494355355317777,0.8709,70.93,0.917,0.707,0.9419,70.11,0.911,0.697
30,0.1877559455541464,0.9296,72.39,0.918,0.718,0.963,71.29,0.91,0.709
31,0.17192762952584487,0.6436,79.14,0.945,0.791,0.7762,72.43,0.923,0.723
32,0.15790942345674222,0.7082,77.07,0.944,0.773,0.8263,73.46,0.922,0.737
33,0.15503283532766196,0.9971,70.79,0.924,0.704,1.0494,69.46,0.909,0.696
34,0.14761987844338784,0.7319,76.79,0.942,0.77,0.8667,71.57,0.921,0.718
35,0.12898522581045443,0.8397,74.0,0.932,0.733,0.999,69.07,0.915,0.682
36,0.11830819415358397,0.7448,78.04,0.946,0.78,0.8373,74.93,0.93,0.749
37,0.10880401684687688,0.7574,76.89,0.942,0.769,0.8191,75.61,0.935,0.755
38,0.10234743425479302,0.7326,78.89,0.953,0.791,0.8289,76.07,0.94,0.762
39,0.10716711483322656,0.8293,76.36,0.938,0.762,0.9021,74.54,0.934,0.741
40,0.09377295999572827,0.7401,78.57,0.947,0.786,0.8397,76.89,0.938,0.768
41,0.0856915201132114,0.6962,79.25,0.953,0.793,0.7941,78.04,0.943,0.78
42,0.07166164270960368,0.6874,79.96,0.953,0.8,0.8042,77.07,0.942,0.771
43,0.07065789137895291,0.7075,79.86,0.954,0.798,0.82,78.64,0.946,0.785
44,0.07016440268892508,0.7251,79.43,0.952,0.795,0.7879,79.21,0.948,0.792
45,0.06924014180325545,0.7328,79.0,0.952,0.791,0.8606,77.79,0.941,0.777
46,0.06540736427100804,0.738,79.0,0.952,0.79,0.8449,77.75,0.943,0.777
47,0.0667677152615327,0.7413,79.07,0.952,0.792,0.8457,78.57,0.944,0.785
48,0.06019491920104394,0.7486,78.79,0.952,0.789,0.8516,78.57,0.944,0.785
49,0.07103567348363307,0.7506,78.79,0.952,0.789,0.8521,78.29,0.944,0.782
