epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.6387956504539778,0.8572,67.11,0.947,0.645,1.1281,57.71,0.889,0.48
1,2.1021756314034956,2.4742,24.67,0.702,0.193,2.6663,24.96,0.619,0.168
2,1.0698253535348454,0.6869,75.55,0.973,0.75,0.848,70.17,0.964,0.655
3,0.3650285343916613,0.2783,90.24,0.994,0.904,0.3828,86.48,0.988,0.824
4,0.2319591592022595,0.1556,95.05,0.997,0.95,0.2986,89.29,0.989,0.85
5,0.18809582368474068,0.1544,95.09,0.998,0.951,0.3614,88.41,0.987,0.839
6,0.16739177928175977,0.1123,96.44,0.999,0.964,0.5319,84.86,0.978,0.801
7,0.14653435237305137,0.1812,93.99,0.997,0.94,0.4199,86.17,0.985,0.815
8,0.1361701959897647,0.1663,94.72,0.998,0.949,0.5133,86.64,0.972,0.806
9,0.1228706889141578,0.1223,95.87,0.998,0.959,0.2997,89.91,0.989,0.862
10,0.11375556623155926,0.0982,96.76,0.999,0.968,0.3817,87.37,0.989,0.841
11,0.1106210513471035,0.1496,95.43,0.997,0.954,0.5296,86.5,0.97,0.826
12,0.10538716773138679,0.0875,97.23,0.999,0.972,0.446,89.03,0.978,0.842
13,0.09959051610841867,0.1025,96.75,0.999,0.967,0.3885,89.07,0.984,0.841
14,0.09581658101931054,0.0785,97.52,0.999,0.975,0.3934,91.02,0.981,0.87
15,0.09616328846316077,0.0801,97.49,0.999,0.975,0.3159,91.52,0.987,0.877
16,0.08947754623602047,0.1807,94.82,0.997,0.949,0.6756,81.21,0.966,0.772
17,0.0863783493250822,0.096,96.96,0.999,0.97,0.5296,87.13,0.976,0.825
18,0.08776070718323031,0.0647,97.96,0.999,0.98,0.5825,85.77,0.977,0.818
19,0.08125717216755488,0.0699,97.88,0.999,0.979,0.546,84.02,0.982,0.802
20,0.07738134678199514,0.0733,97.7,0.999,0.977,0.5261,86.96,0.969,0.835
21,0.07548649163122245,0.0831,97.47,0.999,0.975,0.4245,90.98,0.978,0.866
22,0.07021234129926049,0.063,98.08,1.0,0.981,0.4568,85.38,0.985,0.808
23,0.070747742128949,0.0533,98.36,1.0,0.983,0.4541,89.17,0.984,0.859
24,0.06624158984550865,0.0637,98.12,0.999,0.981,0.4488,89.69,0.975,0.859
25,0.06397988741690006,0.0544,98.45,1.0,0.984,0.3148,91.19,0.987,0.87
26,0.0612567696690319,0.0558,98.32,1.0,0.983,0.5517,85.25,0.986,0.819
27,0.057973832679798956,0.0736,97.61,0.999,0.976,0.4927,87.86,0.976,0.837
28,0.056986461513705795,0.0572,98.13,1.0,0.981,0.4045,88.85,0.982,0.843
29,0.05467575184473481,0.0564,98.22,1.0,0.982,0.4623,87.98,0.983,0.829
30,0.0543281560777069,0.0456,98.62,1.0,0.986,0.4505,88.87,0.983,0.85
31,0.049765757814143184,0.0466,98.64,1.0,0.986,0.4933,89.18,0.97,0.853
32,0.047423244530742314,0.0494,98.52,1.0,0.985,0.5623,87.94,0.974,0.834
33,0.046574343748617665,0.0434,98.69,1.0,0.987,0.4807,87.3,0.976,0.824
34,0.04185560635227616,0.0408,98.68,1.0,0.987,0.4857,87.72,0.981,0.835
35,0.03964933071545856,0.0384,98.86,1.0,0.988,0.5316,90.35,0.961,0.862
36,0.03730500338926217,0.0375,98.88,1.0,0.989,0.5298,89.09,0.968,0.85
37,0.03472867359216976,0.0318,99.06,1.0,0.99,0.5482,87.64,0.975,0.843
38,0.03160162492051026,0.0319,99.07,1.0,0.991,0.4965,90.53,0.972,0.869
39,0.03110877689521586,0.0313,99.07,1.0,0.991,0.5482,88.09,0.978,0.85
40,0.02792694353528561,0.032,98.98,1.0,0.99,0.5862,88.24,0.965,0.841
41,0.0254064803445665,0.0294,99.12,1.0,0.991,0.5156,86.59,0.976,0.829
42,0.024647458109296992,0.0275,99.17,1.0,0.991,0.5498,87.53,0.975,0.837
43,0.023473286567302586,0.0265,99.19,1.0,0.992,0.5267,88.63,0.973,0.851
44,0.021697453348346614,0.0262,99.19,1.0,0.992,0.5425,88.99,0.971,0.85
45,0.020868402700470662,0.0264,99.13,1.0,0.991,0.5201,88.95,0.972,0.849
46,0.01962900916314734,0.0262,99.17,1.0,0.992,0.5697,88.73,0.968,0.85
47,0.01866406592370201,0.0256,99.18,1.0,0.992,0.5546,88.39,0.97,0.844
48,0.018936378141951923,0.0253,99.19,1.0,0.992,0.5441,89.18,0.968,0.855
49,0.018685904813856954,0.0253,99.21,1.0,0.992,0.5496,89.17,0.968,0.854
